time,theta,phi,psi,delta
0,51.3652229309082,43.4130020141602,-53.4844818115234,-48.2887496948242
0.0429999999978463,51.5304679870605,43.2878875732422,-55.0620994567871,-43.6849060058594
0.0940000000045984,51.7649383544922,43.0521507263184,-56.619255065918,-39.4487609863281
0.118999999998778,51.9083786010742,42.6883735656738,-57.9292602539062,-35.1998901367188
0.158999999999651,52.0104141235352,42.267017364502,-59.2326507568359,-31.7345485687256
0.207999999998719,52.1702003479004,41.7372016906738,-61.1510925292969,-28.1184997558594
0.243000000002212,52.5659332275391,41.2063865661621,-63.8966522216797,-22.4104309082031
0.277000000001863,52.8938331604004,40.6444854736328,-66.2048263549805,-14.2927169799805
0.328000000001339,53.0928421020508,40.048957824707,-68.0093002319336,-8.09651565551758
0.357000000003609,53.2374801635742,39.4563026428223,-69.3003005981445,-3.31570029258728
0.398000000001048,53.4663887023926,38.8445892333984,-71.1022415161133,0.0534515827894211
0.449000000000524,53.6516494750977,38.2281723022461,-72.8527450561523,5.42938995361328
0.476999999998952,53.698860168457,37.6785316467285,-74.1079406738281,10.3643836975098
0.51600000000326,53.7152328491211,37.1315879821777,-74.1947479248047,13.6983222961426
0.567000000002736,53.8002128601074,36.6085548400879,-75.7930221557617,13.4203147888184
0.59599999999773,53.9239158630371,36.0553817749023,-77.8886642456055,18.8656005859375
0.635999999998603,54.0721054077148,35.4189872741699,-79.4182815551758,25.1369609832764
0.686999999998079,54.1473007202148,33.8276596069336,-80.4382629394531,29.2421913146973
0.715000000003783,54.1409568786621,33.1596870422363,-80.9838790893555,32.0833740234375
0.756999999997788,54.1244087219238,32.5117263793945,-81.9862518310547,33.6141662597656
0.806000000004133,54.2093086242676,31.8850173950195,-83.5588836669922,36.9511070251465
0.834999999999127,54.2210540771484,31.2278614044189,-85.0058135986328,41.9312934875488
0.876000000003842,54.2146949768066,30.5698852539062,-85.9518203735352,46.1833534240723
0.923999999999069,54.1748123168945,29.942985534668,-86.4934768676758,48.8375816345215
0.953000000001339,54.2642097473145,29.2938823699951,-88.1222152709961,50.4278793334961
0.993999999998778,54.1983833312988,28.6617107391357,-90.072395324707,55.8737525939941
1.04400000000169,54.1486663818359,27.9805717468262,-91.1580047607422,61.8115768432617
1.07400000000052,54.0361518859863,27.3136138916016,-92.5495376586914,64.6892013549805
1.1140000000014,54.009635925293,26.6567077636719,-93.8800048828125,69.0989532470703
1.1620000000039,53.8843231201172,25.9931926727295,-94.9303283691406,73.1334686279297
1.1929999999993,53.754940032959,25.3529529571533,-96.7677154541016,76.2875213623047
1.23099999999977,53.6774368286133,24.7874183654785,-98.1452713012695,82.2502136230469
1.31199999999808,53.2207183837891,23.6239643096924,-100.650749206543,91.9033813476562
1.35300000000279,53.0514106750488,23.0469055175781,-101.754180908203,93.685546875
1.40099999999802,52.7866058349609,22.4593257904053,-103.447410583496,97.4314270019531
1.43100000000413,52.7565498352051,21.8423919677734,-105.935981750488,102.954895019531
1.47099999999773,52.7163619995117,21.1830291748047,-108.402572631836,110.790428161621
1.52000000000407,52.8920936584473,20.4948463439941,-111.827133178711,118.104797363281
1.55200000000332,52.9754600524902,19.8159294128418,-115.893447875977,128.600067138672
1.59000000000378,52.7909889221191,19.1006450653076,-117.048652648926,140.701614379883
1.63900000000285,52.5925102233887,18.3835315704346,-119.06761932373,142.738830566406
1.66999999999825,52.2697563171387,17.6618671417236,-119.593406677246,149.330383300781
1.70900000000256,52.006420135498,16.9145126342773,-121.272483825684,150.489059448242
1.76400000000285,51.7125282287598,16.1303462982178,-121.924003601074,156.378051757812
1.79000000000087,51.5563430786133,15.5151538848877,-124.912002563477,158.21923828125
1.8289999999979,51.2410507202148,14.5206956863403,-126.033111572266,168.441635131836
1.88000000000466,50.9324951171875,13.7554960250854,-128.105087280273,171.186660766602
1.95100000000093,50.1746559143066,12.2590198516846,-131.040283203125,177.731094360352
1.99700000000303,49.7210426330566,11.7462949752808,-130.930770874023,188.295852661133
2.02799999999843,49.3628845214844,10.988169670105,-131.860046386719,187.01188659668
2.06700000000274,48.999870300293,10.3767652511597,-131.478668212891,190.934997558594
2.11699999999837,48.6238784790039,9.76860523223877,-132.74365234375,189.879043579102
2.15299999999843,48.2031745910645,9.20650100708008,-132.072250366211,195.073425292969
2.18699999999808,47.7984504699707,8.68266677856445,-132.681884765625,192.861480712891
2.23700000000099,47.3337745666504,8.21894073486328,-131.771560668945,196.016098022461
2.26699999999983,46.9047622680664,3.97116851806641,-132.446838378906,193.358261108398
2.30600000000413,46.4043121337891,3.60059142112732,-130.989028930664,197.57795715332
2.35800000000017,45.969856262207,3.23906826972961,-130.812713623047,193.495513916016
2.38700000000244,45.4281272888184,2.86771941184998,-130.336303710938,194.789855957031
2.42500000000291,44.918529510498,2.479731798172,-129.179336547852,194.300720214844
2.47899999999936,44.3586502075195,1.15355050563812,-128.550170898438,191.642639160156
2.50600000000122,43.8780174255371,0.813650071620941,-128.047027587891,191.295043945312
2.54699999999866,43.3622932434082,0.469370812177658,-126.352897644043,190.950820922852
2.59700000000157,42.8646926879883,0.137742877006531,-126.300498962402,186.490081787109
2.62400000000343,42.534553527832,-0.185706660151482,-127.471984863281,188.14485168457
2.66400000000431,41.9724960327148,-0.512973785400391,-126.271102905273,192.91145324707
2.71600000000035,41.4617958068848,-0.834507703781128,-124.845558166504,189.036239624023
2.74399999999878,41.024600982666,-1.15561127662659,-124.111953735352,185.708587646484
2.7870000000039,40.7171669006348,-0.521090924739838,-124.156517028809,184.793914794922
2.83699999999953,40.2810707092285,-0.84562760591507,-123.283264160156,185.84114074707
2.8640000000014,39.9525299072266,-1.1651976108551,-123.504013061523,183.446502685547
2.90400000000227,39.2975959777832,-1.50012516975403,-120.53540802002,185.225463867188
2.95999999999913,38.809253692627,-1.84975361824036,-118.161109924316,175.768676757812
2.98400000000402,38.2558364868164,-2.21525526046753,-118.117370605469,170.097885131836
3.02300000000105,37.8870964050293,-2.61294531822205,-117.583892822266,247.510940551758
3.0769999999975,37.5073509216309,-3.0392062664032,-117.439979553223,294.126708984375
3.10300000000279,37.064640045166,-3.50307559967041,-116.501022338867,332.665130615234
