,result,table,_time,3FS_azimuth_Manual,CTRL_sta_command_Manual,3FS_z_voltage_Manual,3FS_x_voltage_Manual,CTRL_sta_equivalent_lacet_Manual,3FS_total_force_Manual,CTRL_sta_setpoint_elevation_Manual,CTRL_border_choquer_Manual,CTRL_zen_command_Manual,3FS_elevation_Manual,KITE_azimuth_b_Manual,CTRL_dyn_Gamma_Manual,3FS_y_force_Manual,KITE_azimuth_dot_wr_Manual,KITE_azimuth_h_Manual,CTRL_dyn_GammaRef_Manual,KITE_azimuth_mg_Manual,KITE_azimuth_wr_Manual,CTRL_dyn_command_Manual,3FS_y_voltage_Manual,KITE_elevation_b_Manual,3FS_x_force_Manual,KITE_elevation_dot_wr_Manual,CTRL_left_diff_Manual,KITE_elevation_wr_Manual,KITE_lacet_wr_Manual,CTRL_man_command_Manual,3FS_z_force_Manual,CTRL_right_diff_Manual
,,0,2023-06-07T10:30:20.987Z,-0.10526571422815323,400,1.2932422161102295,1.6681081056594849,-34,201,50,70,200,0.5920665264129639,-6.031280994415283,-2.400235652923584,-17,-9.321744918823242,-6.056338310241699,-2.984553098678589,0,2.3515467643737793,-10.684223175048828,1.5430127382278442,33.92291259765625,38,-18.5975341796875,238,28.9752140045166,-137.52337646484375,476.5536804199219,-197,-714
,,0,2023-06-07T10:30:20.995Z,-0.11252570897340775,400,1.2892624139785767,1.670251727104187,-34,209,50,70,200,0.5784577131271362,-6.447248458862305,-2.355048894882202,-19,-9.752717971801758,-6.473886489868164,-2.989306926727295,0,1.935579538345337,-11.711722373962402,1.5419278144836426,33.143184661865234,42,-18.942306518554688,207,28.196834564208984,-134.93435668945312,415.2542419433594,-204,-622
,,0,2023-06-07T10:30:21.037Z,-0.12016841024160385,400,1.2851245403289795,1.6725093126296997,-34,218,50,70,200,0.5650779008865356,-6.885142803192139,-2.31668758392334,-22,-10.230575561523438,-6.912397861480713,-2.993887424468994,0,1.4976850748062134,-12.71013069152832,1.5407248735427856,32.37657928466797,46,-19.82752799987793,151,27.35062026977539,-132.73641967773438,302.5423583984375,-211,-453
,,0,2023-06-07T10:30:21.067Z,-0.12784327566623688,400,1.2809317111968994,1.6747727394104004,-34,226,50,70,200,0.552627444267273,-7.213315963745117,-2.286665678024292,-24,-9.420076370239258,-7.296699047088623,-2.99832820892334,0,1.1695119142532349,-13.565467834472656,1.5394457578659058,31.835887908935547,51,-20.32659149169922,80,26.507612228393555,-131.01629638671875,160.16949462890625,-219,-240
,,0,2023-06-07T10:30:21.089Z,-0.12784327566623688,400,1.2809317111968994,1.6747727394104004,-34,226,50,70,200,0.552627444267273,-7.213315963745117,-2.286665678024292,-24,-9.420076370239258,-7.296699047088623,-2.99832820892334,0,1.1695119142532349,-13.565467834472656,1.5394457578659058,31.835887908935547,51,-20.32659149169922,80,26.507612228393555,-131.01629638671875,160.16949462890625,-219,-240
,,0,2023-06-07T10:30:21.11Z,-0.13571697473526,400,1.2769038677215576,1.67704176902771,-34,235,50,70,200,0.5407166481018066,-7.776010036468506,-2.233689785003662,-27,-11.278985977172852,-7.804211139678955,-3.0026652812957764,0,0.606817901134491,-14.250482559204102,1.5380918979644775,30.98078155517578,55,-19.299266815185547,79,25.79728126525879,-127.98099517822266,158.1920928955078,-226,-237
,,0,2023-06-07T10:30:21.159Z,-0.14354395866394043,400,1.2731153964996338,1.6792781352996826,-34,243,50,70,200,0.5293512344360352,-8.22446346282959,-2.158083200454712,-30,-11.251923561096191,-8.251690864562988,-3.006943941116333,0,0.15836477279663086,-15.408166885375977,1.5367019176483154,30.329591751098633,60,-19.5667667388916,79,24.99856185913086,-123.64906311035156,158.1920928955078,-233,-237
,,0,2023-06-07T10:30:21.19Z,-0.14354395866394043,400,1.2731153964996338,1.6792781352996826,-34,243,50,70,200,0.5293512344360352,-8.22446346282959,-2.158083200454712,-30,-11.251923561096191,-8.251690864562988,-3.006943941116333,0,0.15836477279663086,-15.408166885375977,1.5367019176483154,30.329591751098633,60,-19.5667667388916,79,24.99856185913086,-123.64906311035156,158.1920928955078,-233,-237
,,0,2023-06-07T10:30:21.194Z,-0.15088415145874023,400,1.269667625427246,1.681453824043274,-34,250,50,70,200,0.5185304284095764,-8.645025253295898,-2.124382495880127,-32,-10.956774711608887,-8.671136856079102,-3.0053446292877197,0,-0.2621973156929016,-17.01715660095215,1.5353405475616455,29.709606170654297,64,-19.394174575805664,77,24.2331485748291,-121.71815490722656,154.23728942871094,-240,-231
,,0,2023-06-07T10:30:21.226Z,-0.1578858494758606,400,1.2667289972305298,1.6835143566131592,-34,257,50,70,200,0.5081721544265747,-9.04619312286377,-2.081831932067871,-35,-20.144182205200195,-9.070499420166016,-2.9867351055145264,0,-1.6192090511322021,-17.63529396057129,1.534027099609375,29.116119384765625,68,-18.56851577758789,77,23.539947509765625,-119.28018188476562,154.23728942871094,-245,-231
,,0,2023-06-07T10:30:21.278Z,-0.16445840895175934,400,1.264331340789795,1.6854431629180908,-34,262,50,70,200,0.498198926448822,-9.422772407531738,-2.046518564224243,-37,-15.852307319641113,-9.445725440979004,-2.9469006061553955,0,-1.9957889318466187,-18.110034942626953,1.532787799835205,28.544696807861328,72,-17.646984100341797,77,22.889360427856445,-117.25687408447266,154.23728942871094,-249,-231
,,0,2023-06-07T10:30:21.286Z,-0.16445840895175934,400,1.264331340789795,1.6854431629180908,-34,262,50,70,200,0.498198926448822,-9.422772407531738,-2.046518564224243,-37,-15.852307319641113,-9.445725440979004,-2.9469006061553955,0,-1.9957889318466187,-18.110034942626953,1.532787799835205,28.544696807861328,72,-17.646984100341797,77,22.889360427856445,-117.25687408447266,154.23728942871094,-249,-231
,,0,2023-06-07T10:30:21.305Z,-0.1705312579870224,,1.2625406980514526,1.687223196029663,,267,,,,0.48852235078811646,,,-40,,,,,,,1.5316559076309204,,75,,,,,,-253,
,,0,2023-06-07T10:30:21.306Z,,400,,,-34,,50,70,200,,-9.770721435546875,-1.9962496757507324,,-12.990870475769043,-9.791658401489258,-2.88789963722229,0,-2.3437376022338867,-18.005380630493164,,27.99026870727539,,-17.472576141357422,77,22.2009220123291,-114.3766860961914,154.23728942871094,,-231
,,0,2023-06-07T10:30:21.347Z,-0.17630353569984436,398.83489990234375,1.261353850364685,1.6887942552566528,-34,270,50,70,200,0.47937697172164917,-10.101449012756348,-1.9403148889541626,-42,-11.101794242858887,-10.121950149536133,-2.811655044555664,0,-2.674464702606201,-17.82863426208496,1.5306226015090942,27.466278076171875,79,-17.101043701171875,77,21.539173126220703,-111.1718521118164,154.23728942871094,-255,-231
,,0,2023-06-07T10:30:21.402Z,-0.17630353569984436,398.83489990234375,1.261353850364685,1.6887942552566528,-34,270,50,70,200,0.47937697172164917,-10.101449012756348,-1.9403148889541626,-42,-11.101794242858887,-10.121950149536133,-2.811655044555664,0,-2.674464702606201,-17.82863426208496,1.5306226015090942,27.466278076171875,79,-17.101043701171875,77,21.539173126220703,-111.1718521118164,154.23728942871094,-255,-231
,,0,2023-06-07T10:30:21.403Z,-0.18204893171787262,391.8856201171875,1.2608282566070557,1.690212368965149,-34,272,50,70,200,0.4701725244522095,-10.430635452270508,-1.9171504974365234,-44,-9.952945709228516,-10.451579093933105,-2.719992160797119,0,-3.0036516189575195,-17.41664695739746,1.5296661853790283,26.938901901245117,81,-16.144834518432617,77,20.95075225830078,-109.84463500976562,154.23728942871094,-256,-231
,,0,2023-06-07T10:30:21.425Z,-0.18784403800964355,372.08154296875,1.260772943496704,1.691478967666626,-34,273,50,70,200,0.4611130356788635,-10.762670516967773,-1.8511370420455933,-45,-9.292119026184082,-10.783143043518066,-2.6146419048309326,0,-3.3356869220733643,-16.0225830078125,1.5287666320800781,26.419830322265625,84,-15.708053588867188,77,20.348636627197266,-106.06233978271484,154.23728942871094,-256,-231
,,0,2023-06-07T10:30:21.464Z,-0.19364340603351593,360.39788818359375,1.2612073421478271,1.692581057548523,-34,273,50,70,200,0.45220109820365906,-11.094949722290039,-1.8121914863586426,-47,-8.898064613342285,-11.115579605102539,-2.4972424507141113,0,-3.66796612739563,-15.250428199768066,1.5279377698898315,25.90921401977539,86,-14.322248458862305,76,19.85889434814453,-103.83092498779297,152.2598876953125,-255,-228
,,0,2023-06-07T10:30:21.491Z,-0.19364340603351593,360.39788818359375,1.2612073421478271,1.692581057548523,-34,273,50,70,200,0.45220109820365906,-11.094949722290039,-1.8121914863586426,-47,-8.898064613342285,-11.115579605102539,-2.4972424507141113,0,-3.66796612739563,-15.250428199768066,1.5279377698898315,25.90921401977539,86,-14.322248458862305,76,19.85889434814453,-103.83092498779297,152.2598876953125,-255,-228
